bot_id,wallet_address,sol_balance,usdc_balance,dexf_balance,other_tokens_sol,total_sol_equiv
BOT-001,iEUcaHNqo7USPXZyWPuZUStWPY3X4NPgV1NkUaiSYth,0.015888153,0.399396,677.00,0.364328363,0.386165534
BOT-002,GYTuFBjkzRWHCnd2aMzGScZYGvA8x2EPBTvfFDPqe6u9,0.030000000,0.000000,1038.00,0.006280124,0.036310393
BOT-003,DCF4jD1mBAzQQWokgHDzqRPMmjLZryAhb555f9EKKYjW,0.049511346,0.000000,702.00,0.310201487,0.359733304
BOT-004,9PKVa4QBVXucDSq9sGmiNrepY5zcfeaPDwHkkqkiWVhA,0.338878763,0.000000,1006.00,0.132867879,0.471775978
BOT-005,DEjAzxZqswS4WiEw7X5iP3WpEPkfbrnvAmN2UG2Jqn6b,0.491789794,0.000000,728.00,0.385392513,0.877203536
BOT-006,8ptXrDxqFqmhkKNRa4aRHpF3guCAnDwHxd1MN3Rs6Tv3,0.013726015,0.000000,616.00,0.322345179,0.336089157
BOT-007,B995LDLtehKxNsicMstTnkappCnEhBjWawmRMmSq84R2,0.043521036,0.284265,738.00,0.265944529,0.313707172
BOT-008,8p55oXhoWGqoGL3WraFeA9sAsJv7ZbfGsVHNj3xfCZHH,0.006915526,0.304802,1069.00,0.003448187,0.014919856
BOT-009,DyPNhBgA2FqVnACy4A2gnprmTajYUJjafzQNVEG6FabS,0.008437972,0.404706,525.00,0.342729627,0.357191014
BOT-010,Stjn55oSJsqmMC7zTYebStuXf4rb2XvbQTPxGkhyQ8K,0.135189685,0.000000,291.00,0.396624648,0.531822819
BOT-011,HYqzDi9TLKQfGikuymw6yX2EChjy72jid6RL79Gr8b5v,0.056023109,0.408110,194.00,0.627015409,0.689102815
BOT-012,5iskKQ1HC3dv7mUFNXKqkAQ3gteB1ETQbdwHhkaHaNvs,0.166718342,0.000000,101.00,0.576124788,0.742846075
BOT-013,BvC5p28it4bpEAVccowdqUuzhQRjjBnUpGP7z7LoSF3D,0.641870779,0.000000,0.00,0.000000000,0.641870779
BOT-014,Hrus17Rvg2Me8dmksxtbwQ5ZJ2d6MNv4GH4ZCi448hGS,0.758749864,0.000000,0.00,0.000000000,0.758749864
BOT-015,BSbxDNbMX1kDTKe3sraUMNRkekksh2GpM7dTobAUDjbS,0.524780030,0.000000,0.00,0.000000000,0.524780030
BOT-016,7RrrKeKrgg5oPefMXek9KmbdH3rRTx2Jjqz8iL65wftP,0.011087415,0.000000,161.00,0.108670511,0.119762621
BOT-017,5rjGbVP8fNDcGW7dt3zoDEWDv8XSovqH1jxffxm9QBQT,0.304782884,0.000000,0.00,0.000000000,0.304782884
BOT-018,HgQeA5mBgjAJ8FSFmx66ujT9o6s2SK5bgxqebqCGFTic,0.022545968,0.000000,184.00,0.148370264,0.170921598
BOT-019,B2rJpVEPyg1jvSkv8iiYDaT6nEt9Qx2m4boh2qGAtNNX,0.014952106,0.000000,159.00,0.102100822,0.117057565
BOT-020,BsHN6tetbwBUppsiaKrjLvpEYSHPvaF2bgUrjS6zSix,0.384553004,0.000000,0.00,0.000000000,0.384553004
BOT-021,Hp2MsEdkwRqu2MRShhv4dNYDNn7TZFRk8smAKLR4gJB5,0.320545437,0.000000,0.00,0.000000000,0.320545437
BOT-022,A31wYGd25GxbHAHZAiJCYAczPNnggm3srnom9E51aJsZ,0.024370292,0.000000,201.00,0.139534718,0.163910871
BOT-023,8P3Qo2dx92wBiE1yvFxw4F5d1sXM7QWd1Eh3a6cTTiin,0.330618972,0.000000,0.00,0.000000000,0.330618972
BOT-024,ADSKQT8vgKFpKuxMnuTa3uyxypdPCPzmuoxp5jxZ5xLe,0.007381343,0.000000,69.00,0.180580100,0.187963455
BOT-025,4dVBz5bQHQZQbrwezoPfRSXihb1QP58cB8x3e7xqE7Uk,0.007987170,0.000000,269.00,0.012285763,0.020280777
BOT-026,FcsUYaXQkd7SbPe97gUJmbus34fmod8eTh5VMmX5a7w2,0.007133632,0.000000,151.00,0.141680399,0.148818434
BOT-027,BSG4qnSCAYdmhQMETzmiQgGNYKwkLpjxtT85twREcR1J,0.018659590,0.000000,19.00,0.283113834,0.301773978
BOT-028,5TYopDwHcFr8BMAp6cr2jCW335KkqQGk2vM6uq46vR2c,0.417144738,0.000000,0.00,0.000000000,0.417144738
BOT-029,BeuCcgXzVwrLDVTZ7d5xxvrKwchX25CXJHA1xcB1aKwj,0.025127730,0.000000,29.00,0.266862669,0.291991245
BOT-030,2Lkti5YYKAbdgW5Bjppa1Bsr49d7HjBRBFq7CSqS9d3z,0.006658692,0.000000,24.00,0.325561076,0.332220468
BOT-031,5Fskzb4iUNH78VExuSfFkUxNhS69KiLgbFyELTnaVkzW,0.008288372,0.000000,106.00,0.242476946,0.250768409
BOT-032,BgU9ohhhgD3yBe59jpQMqFsdUZATaivJEGTRKXd1rh5e,0.006193807,0.000000,146.00,0.178837809,0.185035874
BOT-033,TwPwfAiEqqzrzeEhQghsunQ5q6WbxYUGyPJ4AYTJ1oy,0.009428207,0.000000,177.00,0.065441429,0.074874797
BOT-034,8wMzLTDPUbzbtD8wEUSMB97N39PVbJoj3VWfQFR9PjDj,0.028609866,0.000000,36.00,0.233027470,0.261638386
BOT-035,4PXifq1sxSQTagqz77uvKCNKgf2NsUiZCE2EbrzQekiV,0.150906002,0.000000,178.00,0.338092440,0.489003633
BOT-036,ED6WiQQAwaNUjBd7rxe3kSuyseS9skTKBHPCYmgedPu6,0.286633940,0.000000,0.00,0.000000000,0.286633940
BOT-037,7AhVtbgpbajay7rdXA7dMccJ5nxVdS5WyKm6irdqN3eR,0.014751887,0.000000,210.00,0.035510529,0.050268540
BOT-038,FYk5ae6nKHCML2KmKYuEsmcTVgYHomgenSeU1qaUx1yQ,0.241169397,0.000000,0.00,0.000000000,0.241169397
BOT-039,AaNVTtd46soWr3C151i6J5pcHSmCnmqLBXedyzdUkJYM,0.006356649,0.000000,184.00,0.019951159,0.026313174
BOT-040,DLhGvhHhZAiKJ7A4mLKBXpeBgMqNzzEpHobyPp4YiAfb,0.011000000,0.000000,0.00,0.000000000,0.011000000
BOT-041,594eWpwbVkSdzwWiuUAxgmQWoewgiJ3yufGGKyUjYcCe,0.063481807,0.000000,87.00,0.019761122,0.083245466
BOT-042,nkHLBkmkExUBHJ8w6AUjkrWq4M7QKaUU7fF2URpr8Lx,0.006833642,0.000000,173.00,0.012044483,0.018883170
BOT-043,ABfQU7F8ViAJHBTtDUMwzUiSf1G8vTGx5NqRk5kCE8B2,0.005900875,0.000000,132.00,0.005927165,0.011831889
BOT-044,3GzG6wCeK954jPckRK16GTzFczyjTwvx1vs6BeKkmgdX,0.007936383,0.000000,99.00,0.028631149,0.036570419
BOT-045,DRCS6P1vdy7wzmkRMssKstBQ1niAN66ovfKYEH7SfjKF,0.157218205,0.000000,0.00,0.000000000,0.157218205
