Bot ID,Wallet,SOL Balance,USDC Balance,USDC (SOL equiv),Verified At
BOT-001,iEUcaHNqo7USPXZyWPuZUStWPY3X4NPgV1NkUaiSYth,0.002806,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-002,GYTuFBjkzRWHCnd2aMzGScZYGvA8x2EPBTvfFDPqe6u9,0.003054,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-003,DCF4jD1mBAzQQWokgHDzqRPMmjLZryAhb555f9EKKYjW,0.004975,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-004,9PKVa4QBVXucDSq9sGmiNrepY5zcfeaPDwHkkqkiWVhA,0.008986,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-005,DEjAzxZqswS4WiEw7X5iP3WpEPkfbrnvAmN2UG2Jqn6b,0.003584,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-006,8ptXrDxqFqmhkKNRa4aRHpF3guCAnDwHxd1MN3Rs6Tv3,0.001383,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-007,B995LDLtehKxNsicMstTnkappCnEhBjWawmRMmSq84R2,0.005900,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-008,8p55oXhoWGqoGL3WraFeA9sAsJv7ZbfGsVHNj3xfCZHH,0.005477,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-009,DyPNhBgA2FqVnACy4A2gnprmTajYUJjafzQNVEG6FabS,0.003537,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-010,Stjn55oSJsqmMC7zTYebStuXf4rb2XvbQTPxGkhyQ8K,0.010811,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-011,HYqzDi9TLKQfGikuymw6yX2EChjy72jid6RL79Gr8b5v,0.004922,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-012,5iskKQ1HC3dv7mUFNXKqkAQ3gteB1ETQbdwHhkaHaNvs,0.005324,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-013,BvC5p28it4bpEAVccowdqUuzhQRjjBnUpGP7z7LoSF3D,0.002931,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-014,Hrus17Rvg2Me8dmksxtbwQ5ZJ2d6MNv4GH4ZCi448hGS,0.001509,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-015,BSbxDNbMX1kDTKe3sraUMNRkekksh2GpM7dTobAUDjbS,0.003228,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-016,7RrrKeKrgg5oPefMXek9KmbdH3rRTx2Jjqz8iL65wftP,0.005085,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-017,5rjGbVP8fNDcGW7dt3zoDEWDv8XSovqH1jxffxm9QBQT,0.003657,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-018,HgQeA5mBgjAJ8FSFmx66ujT9o6s2SK5bgxqebqCGFTic,0.006087,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-019,B2rJpVEPyg1jvSkv8iiYDaT6nEt9Qx2m4boh2qGAtNNX,0.001212,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-020,BsHN6tetbwBUppsiaKrjLvpEYSHPvaF2bgUrjS6zSix,0.006042,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-021,Hp2MsEdkwRqu2MRShhv4dNYDNn7TZFRk8smAKLR4gJB5,0.005125,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-022,A31wYGd25GxbHAHZAiJCYAczPNnggm3srnom9E51aJsZ,0.004993,0.00,0.000000,2026-06-29T08:38:26.060Z
BOT-023,8P3Qo2dx92wBiE1yvFxw4F5d1sXM7QWd1Eh3a6cTTiin,0.004695,0.00,0.000000,2026-06-29T08:38:26.060Z
