Timestamp (UTC),Bot ID,Wallet,Type,Mint (full),SOL Delta,Token Delta,Transaction Hash,Slot
2026-06-29T09:32:09.000Z,BOT-067,JxrsLpX3VdgNWohMAWjJjtoAqPUkqHgMgHpTzHAQD8v,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.004108,3.50,3Dj2dWyD52GaWoVgWvFGCSyvGGz3hueitEpbHjQZe4bV5B1ubHC6VTEj4sjxw8ZrKvSgWEbNSPTpzTuYUgx9mpBp,429639300
2026-06-29T09:16:43.000Z,BOT-181,8chBrqfM3RdqLrDRGtQko39DgJJnzmv9y4JJ7pRggaQ1,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,5Z1bJHAGUriuUVyHgxsFhogZZiEMn64u3nc6ELXQqBC7jrA9iTNKMjydNS9KbiA2nz6WK3xZDJpHVr5Q9op5M6AB,429637048
2026-06-29T09:13:40.000Z,BOT-111,5VWZrHs8wNEHMcdqZxogc6ZnXz74SacjHTR98mqPoaGJ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,2wLd2gdgQYaMASWdy1cGGArupQGWMVuDr1LhH5BHfYQsnPYWbJTmf6xkA666Ra9MK6S53Bo42SSJEajNzXrbnLRe,429636589
2026-06-29T09:12:41.000Z,BOT-326,GFFMXuaUkvyGX6qQqihieDVxuVCte217VfNiNqxtBbFG,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.047679,38.90,21Gv2uFPhxyNeDeotc1MhuYyP98WU3hiR4LobvfFmbKohyzCT9hF2uSeJopaqSW2wRAYmfKpgkmk8qHsThrcuJfX,429636447
2026-06-29T09:06:40.000Z,BOT-302,HGkAucZW8FxV3VypEoJSEnvewy7wVB4BrmcurCcNHWWZ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.031831,27.15,yFxyAzcSQGTobyEZfsksZb1SFf2E3QiHCgrUTiWWV7TfBxbzDDaTJzRCsYGWNSmzpB3CzvSZkCpodPmWDR31y3L,429635542
2026-06-29T09:05:51.000Z,BOT-302,HGkAucZW8FxV3VypEoJSEnvewy7wVB4BrmcurCcNHWWZ,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.033904,27.15,CHBCU5NQ7rRy9AnH9MyNXAd9dbYejaxAR8yWwNTqZQKDJWQgBkC6w3jh4wdj6gbf59zJpxdrZcGV6RwbeDWJRe8,429635418
2026-06-29T09:02:13.000Z,BOT-229,22rpihUPhbAqdsfDor2vZvSsK1zdPPKjwMncMmL65ejc,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.035815,30.55,4mBv52SX5jXRRGBXzxEPktVf2PDokWsuzf36G1J3dQ9isXYyujdzj7p4PartVurVn2GSVBMcpLRffrLWpaJerzpE,429634877
2026-06-29T09:01:35.000Z,BOT-229,22rpihUPhbAqdsfDor2vZvSsK1zdPPKjwMncMmL65ejc,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.037888,30.55,5ueurdcTHW4AQdLrcEyRXJYg3aEvQ6PxsoPn1ghaWUBBocKk1UYrCM3omVmYPinCHyXGCZhSuCGn71cGDBC2HBtV,429634787
2026-06-29T08:47:43.000Z,BOT-097,EU386fs3JmL9jRxFauogurmqXeQtsiU8bnKU4Uz5SEwn,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,45KXWJAYWAVphSANTYXJfhd69dM1Ziq2UGJgY1AvF2KtBHoLP61Nfmp1wpdzddcxrvBYvra1eQRhhoZnzCWWLLhg,429632746
2026-06-29T08:46:50.000Z,BOT-119,8t6bDepHRbAC9Yggu2QtjZ2w5ZuNWJQwEoGeL7ZZ5TqU,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006182,3.50,4qpTGdGGKuCVuTrxyWudZpQyBYkJ33ZykyxyiuD6YDSZ5i8wiGUX3X9U8W9UWLkUsTX6nGZypJHXEgQ82cJxrnbE,429632616
