Timestamp (UTC),Bot ID,Wallet Address,Historical Txns,Historical SOL Sent,Current On-Chain SOL Balance,Current USD Value (@$71),Verified
2026-06-29,BOT-001,iEUcaHNqo7USPXZyWPuZUStWPY3X4NPgV1NkUaiSYth,4,0.040000,0.002806,0.20,VERIFIED
2026-06-29,BOT-002,GYTuFBjkzRWHCnd2aMzGScZYGvA8x2EPBTvfFDPqe6u9,3,0.140000,0.003054,0.22,VERIFIED
2026-06-29,BOT-003,DCF4jD1mBAzQQWokgHDzqRPMmjLZryAhb555f9EKKYjW,3,0.140000,0.004975,0.35,VERIFIED
2026-06-29,BOT-004,9PKVa4QBVXucDSq9sGmiNrepY5zcfeaPDwHkkqkiWVhA,5,0.270000,0.008986,0.64,VERIFIED
2026-06-29,BOT-005,DEjAzxZqswS4WiEw7X5iP3WpEPkfbrnvAmN2UG2Jqn6b,6,0.280000,0.003584,0.25,VERIFIED
2026-06-29,BOT-006,8ptXrDxqFqmhkKNRa4aRHpF3guCAnDwHxd1MN3Rs6Tv3,2,0.020000,0.001383,0.10,VERIFIED
2026-06-29,BOT-008,8p55oXhoWGqoGL3WraFeA9sAsJv7ZbfGsVHNj3xfCZHH,3,0.140000,0.005477,0.39,VERIFIED
2026-06-29,BOT-009,DyPNhBgA2FqVnACy4A2gnprmTajYUJjafzQNVEG6FabS,2,0.130000,0.003537,0.25,VERIFIED
2026-06-29,BOT-010,Stjn55oSJsqmMC7zTYebStuXf4rb2XvbQTPxGkhyQ8K,4,0.150000,0.010811,0.77,VERIFIED
2026-06-29,BOT-011,HYqzDi9TLKQfGikuymw6yX2EChjy72jid6RL79Gr8b5v,3,0.140000,0.004922,0.35,VERIFIED
2026-06-29,BOT-012,5iskKQ1HC3dv7mUFNXKqkAQ3gteB1ETQbdwHhkaHaNvs,1,0.120000,0.005324,0.38,VERIFIED
2026-06-29,BOT-013,BvC5p28it4bpEAVccowdqUuzhQRjjBnUpGP7z7LoSF3D,3,0.360000,0.002931,0.21,VERIFIED
2026-06-29,BOT-014,Hrus17Rvg2Me8dmksxtbwQ5ZJ2d6MNv4GH4ZCi448hGS,2,0.130000,0.001509,0.11,VERIFIED
2026-06-29,BOT-015,BSbxDNbMX1kDTKe3sraUMNRkekksh2GpM7dTobAUDjbS,2,0.240000,0.003228,0.23,VERIFIED
2026-06-29,BOT-016,7RrrKeKrgg5oPefMXek9KmbdH3rRTx2Jjqz8iL65wftP,3,0.030000,0.005085,0.36,VERIFIED
2026-06-29,BOT-017,5rjGbVP8fNDcGW7dt3zoDEWDv8XSovqH1jxffxm9QBQT,2,0.240000,0.003657,0.26,VERIFIED
2026-06-29,BOT-018,HgQeA5mBgjAJ8FSFmx66ujT9o6s2SK5bgxqebqCGFTic,5,0.160000,0.006087,0.43,VERIFIED
2026-06-29,BOT-019,B2rJpVEPyg1jvSkv8iiYDaT6nEt9Qx2m4boh2qGAtNNX,3,0.140000,0.001212,0.09,VERIFIED
2026-06-29,BOT-020,BsHN6tetbwBUppsiaKrjLvpEYSHPvaF2bgUrjS6zSix,3,0.030000,0.006042,0.43,VERIFIED
2026-06-29,BOT-021,Hp2MsEdkwRqu2MRShhv4dNYDNn7TZFRk8smAKLR4gJB5,3,0.250000,0.005125,0.36,VERIFIED
2026-06-29,BOT-022,A31wYGd25GxbHAHZAiJCYAczPNnggm3srnom9E51aJsZ,1,0.120000,0.004993,0.35,VERIFIED
2026-06-29,BOT-023,8P3Qo2dx92wBiE1yvFxw4F5d1sXM7QWd1Eh3a6cTTiin,2,0.240000,0.004695,0.33,VERIFIED
2026-06-29,BOT-025,4dVBz5bQHQZQbrwezoPfRSXihb1QP58cB8x3e7xqE7Uk,2,0.130000,0.006987,0.50,VERIFIED
2026-06-29,BOT-027,BSG4qnSCAYdmhQMETzmiQgGNYKwkLpjxtT85twREcR1J,3,0.030000,0.003739,0.27,VERIFIED
2026-06-29,BOT-028,5TYopDwHcFr8BMAp6cr2jCW335KkqQGk2vM6uq46vR2c,2,0.130000,0.007081,0.50,VERIFIED
2026-06-29,BOT-029,BeuCcgXzVwrLDVTZ7d5xxvrKwchX25CXJHA1xcB1aKwj,2,0.020000,0.005391,0.38,VERIFIED
2026-06-29,BOT-030,2Lkti5YYKAbdgW5Bjppa1Bsr49d7HjBRBFq7CSqS9d3z,3,0.140000,0.001268,0.09,VERIFIED
2026-06-29,BOT-031,5Fskzb4iUNH78VExuSfFkUxNhS69KiLgbFyELTnaVkzW,2,0.020000,0.005265,0.37,VERIFIED
2026-06-29,BOT-032,BgU9ohhhgD3yBe59jpQMqFsdUZATaivJEGTRKXd1rh5e,1,0.010000,0.003487,0.25,VERIFIED
2026-06-29,BOT-034,8wMzLTDPUbzbtD8wEUSMB97N39PVbJoj3VWfQFR9PjDj,3,0.140000,0.001153,0.08,VERIFIED
2026-06-29,BOT-035,4PXifq1sxSQTagqz77uvKCNKgf2NsUiZCE2EbrzQekiV,2,0.240000,0.004909,0.35,VERIFIED
2026-06-29,BOT-036,ED6WiQQAwaNUjBd7rxe3kSuyseS9skTKBHPCYmgedPu6,4,0.150000,0.002399,0.17,VERIFIED
2026-06-29,BOT-037,7AhVtbgpbajay7rdXA7dMccJ5nxVdS5WyKm6irdqN3eR,1,0.010000,0.007140,0.51,VERIFIED
2026-06-29,BOT-038,FYk5ae6nKHCML2KmKYuEsmcTVgYHomgenSeU1qaUx1yQ,3,0.140000,0.004598,0.33,VERIFIED
2026-06-29,BOT-039,AaNVTtd46soWr3C151i6J5pcHSmCnmqLBXedyzdUkJYM,1,0.010000,0.006655,0.47,VERIFIED
2026-06-29,BOT-040,DLhGvhHhZAiKJ7A4mLKBXpeBgMqNzzEpHobyPp4YiAfb,2,0.020000,0.006238,0.44,VERIFIED
2026-06-29,BOT-041,594eWpwbVkSdzwWiuUAxgmQWoewgiJ3yufGGKyUjYcCe,4,0.040000,0.003452,0.25,VERIFIED
2026-06-29,BOT-042,nkHLBkmkExUBHJ8w6AUjkrWq4M7QKaUU7fF2URpr8Lx,4,0.040000,0.005876,0.42,VERIFIED
2026-06-29,BOT-043,ABfQU7F8ViAJHBTtDUMwzUiSf1G8vTGx5NqRk5kCE8B2,3,0.030000,0.005881,0.42,VERIFIED
2026-06-29,BOT-044,3GzG6wCeK954jPckRK16GTzFczyjTwvx1vs6BeKkmgdX,1,0.010000,0.005881,0.42,VERIFIED
2026-06-29,BOT-045,DRCS6P1vdy7wzmkRMssKstBQ1niAN66ovfKYEH7SfjKF,3,0.140000,0.003624,0.26,VERIFIED
2026-06-29,BOT-046,3GQJT7oZVHspxR8XyCzmWmRxFfGyjkL4rver8E8R8amj,1,0.010000,0.005831,0.41,VERIFIED
2026-06-29,BOT-048,6P7fW48NYPHg3SWYAgXMei1CiiUHxqYoggzDEzFb92XU,1,0.120000,0.001975,0.14,VERIFIED
2026-06-29,BOT-049,CyRZYFunuLDMN1ACRaFkJbhZZ1AV9WETgQWqAyQjpgwz,1,0.010000,0.007233,0.51,VERIFIED
2026-06-29,BOT-050,B34GgNS9MGtzrjnkNSd69thTCe3TCgggVWWvYb63C9dB,2,0.130000,0.005443,0.39,VERIFIED
2026-06-29,BOT-052,8wChbd9yJAfvGpkDoyxbTXtdetU8sQFkL3USfMjTmu14,3,0.030000,0.003806,0.27,VERIFIED
2026-06-29,BOT-054,G9dpHg1Ze4uziSrRXDUMbVmso3RKLMi39QWm36vfCUXU,2,0.020000,0.005875,0.42,VERIFIED
2026-06-29,BOT-055,AuhvnQNXGJMU7oc7tpojmbjUVakCekMka4m9qNLDwC2G,1,0.010000,0.005970,0.42,VERIFIED
2026-06-29,BOT-056,E5R47nGxoz9Cd5sGo6p4vcCBMsFB9D3YBFt5bN2xQhLc,3,0.030000,0.005873,0.42,VERIFIED
